filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol,DFT_spe_Energy (+ CPCM) / kcal/mol,DFT_spe_Energy (exclude CPCM) / kcal/mol,MACE24medium_Energy / kcal/mol,MACE23large_Energy / kcal/mol
ANI2x_L_1264_opt.json,2.16511413,ANI2x 0.2 ns (ML/MM),-138888.1768631648,-2095860.0469619995,-2095812.0973044075,-2095721.590764995,-2095720.6009613734
ANI2x_L_1276_opt.json,2.1983533,ANI2x 0.2 ns (ML/MM),-138888.02628610513,-2095860.400601934,-2095812.3193651172,-2095721.6230322015,-2095720.870834569
ANI2x_L_1266_opt.json,2.16461838,ANI2x 0.2 ns (ML/MM),-138887.98561097175,-2095859.9153893287,-2095811.810153431,-2095721.433695396,-2095720.5258864504
ANI2x_L_1256_opt.json,2.20081992,ANI2x 0.2 ns (ML/MM),-138887.9820655459,-2095860.309382002,-2095812.3475224976,-2095722.2586280317,-2095720.824640708
ANI2x_L_1277_opt.json,2.1953595,ANI2x 0.2 ns (ML/MM),-138887.97351887333,-2095860.030512928,-2095812.348304064,-2095721.7038838174,-2095720.820908979
ANI2x_L_1279_opt.json,2.19406953,ANI2x 0.2 ns (ML/MM),-138887.97082058463,-2095859.663049416,-2095811.8554730397,-2095721.5243875904,-2095720.443291889
ANI2x_L_1262_opt.json,2.20532098,ANI2x 0.2 ns (ML/MM),-138887.95762407035,-2095860.274975494,-2095812.0339347257,-2095721.6887029381,-2095720.7520079666
ANI2x_L_1254_opt.json,2.20946748,ANI2x 0.2 ns (ML/MM),-138887.9545367261,-2095860.309225054,-2095812.4730769373,-2095722.283696188,-2095721.0488698941
ANI2x_L_1258_opt.json,2.22505721,ANI2x 0.2 ns (ML/MM),-138887.92669415174,-2095860.5538013007,-2095812.425467424,-2095722.1924448055,-2095720.955897163
SAGE_0968_opt.json,2.62628263,SAGE 10 ns classic,-138887.77920443637,-2095861.286721144,-2095817.0582295728,-2095722.3128798194,-2095721.6975987398
GAFF_0761_opt.json,2.57324288,GAFF 10 ns classic,-138887.64180506574,-2095858.988322547,-2095815.1596709248,-2095721.178161242,-2095719.581546645
SAGE_0966_opt.json,2.65170869,SAGE 10 ns classic,-138887.60760582524,-2095861.8118916373,-2095818.5456116989,-2095723.5895984166,-2095722.754708446
SAGE_0356_opt.json,2.51033289,SAGE 10 ns classic,-138887.40478864135,-2095859.4342654068,-2095814.861338538,-2095720.782402087,-2095720.0127554394
SAGE_0226_opt.json,2.49822056,SAGE 10 ns classic,-138887.30522178832,-2095859.275463368,-2095815.915272315,-2095720.994367706,-2095720.4243558538
GAFF_0900_opt.json,2.58013707,GAFF 10 ns classic,-138887.2117229473,-2095858.8323711413,-2095813.5388769428,-2095720.0487918754,-2095718.1004072847
GAFF_0786_opt.json,2.6203977,GAFF 10 ns classic,-138886.95989103545,-2095859.26301156,-2095815.52041464,-2095720.6826309324,-2095718.9872689906
SAGE_0963_opt.json,2.72909486,SAGE 10 ns classic,-138886.91730827471,-2095861.2899384096,-2095816.696641344,-2095720.5926534885,-2095720.5971427124
SAGE_0227_opt.json,2.53722326,SAGE 10 ns classic,-138886.90254298795,-2095858.7633459223,-2095813.5444418364,-2095719.061095352,-2095718.683007632
GAFF_0994_opt.json,2.60723277,GAFF 10 ns classic,-138886.6320426833,-2095859.1951364155,-2095813.5813804488,-2095719.5987641087,-2095718.059590848
SAGE_0964_opt.json,2.68151319,SAGE 10 ns classic,-138886.6178107792,-2095861.0226598333,-2095815.1710277551,-2095720.3070487033,-2095720.0881234168
GAFF_0959_opt.json,2.61125964,GAFF 10 ns classic,-138886.54749839575,-2095857.555188181,-2095812.795507104,-2095718.1584354076,-2095716.9087885933
SAGE_0087_opt.json,2.58023423,SAGE 10 ns classic,-138886.5298277423,-2095861.318831453,-2095815.3210104855,-2095721.1216755237,-2095720.5941182007
GAFF_0814_opt.json,2.59331264,GAFF 10 ns classic,-138886.46245210097,-2095858.5604375624,-2095814.5584692103,-2095719.953117315,-2095719.3311027768
SAGE_0083_opt.json,2.57938948,SAGE 10 ns classic,-138886.4536983504,-2095861.0915016031,-2095814.849210032,-2095720.5012821273,-2095720.6019176515
SAGE_0965_opt.json,2.6606864,SAGE 10 ns classic,-138886.39847128332,-2095861.4853478624,-2095815.999154435,-2095720.4498615335,-2095719.9500039348
GAFF_0762_opt.json,2.5565201,GAFF 10 ns classic,-138886.2985279249,-2095856.7362566711,-2095812.2405447848,-2095719.0447196474,-2095717.3913971803
GAFF_0898_opt.json,2.6200148,GAFF 10 ns classic,-138886.2340262748,-2095856.81380794,-2095810.8838370105,-2095718.0929197792,-2095716.2811217522
GAFF_0798_opt.json,2.60173435,GAFF 10 ns classic,-138886.20160915985,-2095858.8735637532,-2095814.1368582908,-2095718.9158656655,-2095718.0361412626
GAFF_0941_opt.json,2.59743469,GAFF 10 ns classic,-138886.1835055252,-2095857.9191086895,-2095813.2284969003,-2095718.4337216974,-2095717.4734409174
