filename,XTB_opt_Energy (ALPB),HOMO_LUMO_gap,sampling method in explicit TIP3P,DFT_spe_Energy (CPCM),DFT_spe_Energy (exclude CPCM),MACE24medium_Energy,MACE23large_Energy,OMOL25_Energy,UMA_Energy,RMSD_to_bioactive,conf. cluster
ANI2x_L_1258_opt.json,-221.33216686,2.22505721,ANI2x 0.2 ns (ML/MM),-3339.968914870226,-3339.892217430226,-90873.39313350125,-90873.3395150968,-90810.60671588778,-90810.61865398272,1.2042984146474547,cluster_2
ANI2x_L_1276_opt.json,-221.33232557,2.1983533,ANI2x 0.2 ns (ML/MM),-3339.9686707313103,-3339.8920483453103,-90873.36844298852,-90873.33582666588,-90810.59687206148,-90810.60887596029,1.3087335346966489,cluster_2
ANI2x_L_1256_opt.json,-221.3322551,2.20081992,ANI2x 0.2 ns (ML/MM),-3339.968525362986,-3339.892093216986,-90873.39600329685,-90873.33382363664,-90810.59994289264,-90810.61227199453,1.2402572151983515,cluster_2
ANI2x_L_1254_opt.json,-221.33221123,2.20946748,ANI2x 0.2 ns (ML/MM),-3339.968525112873,-3339.892293300873,-90873.39709028653,-90873.34354652216,-90810.60797664509,-90810.62083026784,1.2440899245000845,cluster_2
ANI2x_L_1262_opt.json,-221.33221615,2.20532098,ANI2x 0.2 ns (ML/MM),-3339.968470532684,-3339.891593482684,-90873.37129056187,-90873.33067418118,-90810.58824703096,-90810.6005913915,1.1933475121206973,cluster_2
ANI2x_L_1264_opt.json,-221.33256553,2.16511413,ANI2x 0.2 ns (ML/MM),-3339.9681071697764,-3339.891694468776,-90873.36704383812,-90873.32412459342,-90810.58511039607,-90810.59703609363,1.2062856888446163,cluster_2
ANI2x_L_1277_opt.json,-221.33224148,2.1953595,ANI2x 0.2 ns (ML/MM),-3339.9680809564925,-3339.8920944624924,-90873.37194882566,-90873.33366182374,-90810.59785243886,-90810.60911437888,1.2928771004857849,cluster_2
ANI2x_L_1266_opt.json,-221.33226075,2.16461838,ANI2x 0.2 ns (ML/MM),-3339.9678974952217,-3339.891236864222,-90873.36023308456,-90873.32086924162,-90810.5715901553,-90810.58455345052,1.2368072202299516,cluster_2
ANI2x_L_1265_opt.json,-221.33264351,2.18857701,ANI2x 0.2 ns (ML/MM),-3339.967784893195,-3339.891536278195,-90873.3673455285,-90873.32209950668,-90810.5808283984,-90810.59368965049,1.245494149306804,cluster_2
ANI2x_L_1279_opt.json,-221.33223718,2.19406953,ANI2x 0.2 ns (ML/MM),-3339.967495365669,-3339.891309085669,-90873.36416562268,-90873.317287828,-90810.58225509542,-90810.59273311512,1.2739907090301072,cluster_2
MACEsmall_1893_opt.json,-221.33363565,2.20683678,MACEsmall 0.1 ns (ML/MM),-3339.9710975874127,-3339.897821864413,-90873.43527673886,-90873.4115420061,-90810.7057921588,-90810.71732494253,1.905651263557524,cluster_3
MACEsmall_1919_opt.json,-221.33321387,2.2237875,MACEsmall 0.1 ns (ML/MM),-3339.970891595256,-3339.897903963256,-90873.45421246203,-90873.42672051625,-90810.7182528674,-90810.73066303151,2.391931040353851,cluster_3
MACEsmall_1796_opt.json,-221.33322009,2.19064271,MACEsmall 0.1 ns (ML/MM),-3339.9706972446816,-3339.8978046856814,-90873.44060380833,-90873.41719298396,-90810.70277759428,-90810.71491310018,1.8955886960826303,cluster_3
MACEsmall_1787_opt.json,-221.33344486,2.17765011,MACEsmall 0.1 ns (ML/MM),-3339.97033237779,-3339.89710460379,-90873.44081087426,-90873.41187462752,-90810.69212409871,-90810.70478031057,1.868615185766577,cluster_3
MACEsmall_1900_opt.json,-221.3337885,2.21220872,MACEsmall 0.1 ns (ML/MM),-3339.9697033625675,-3339.897914506568,-90873.4256499282,-90873.4028116967,-90810.70215865989,-90810.71160671132,2.0616436393385995,cluster_3
MACEsmall_1994_opt.json,-221.3335714,2.1706869,MACEsmall 0.1 ns (ML/MM),-3339.969250307677,-3339.8979602656773,-90873.41231411176,-90873.39610830822,-90810.70649406308,-90810.71716186422,2.3867699814658523,cluster_3
MACEsmall_1776_opt.json,-221.33324887,2.17192573,MACEsmall 0.1 ns (ML/MM),-3339.968834838121,-3339.895333866121,-90873.36591849053,-90873.34650565872,-90810.62653610096,-90810.63833782094,1.7695051078149637,cluster_3
MACEsmall_1986_opt.json,-221.33322537,2.16862903,MACEsmall 0.1 ns (ML/MM),-3339.9677600006457,-3339.896331831646,-90873.36751818324,-90873.34645133105,-90810.65550014372,-90810.66760322468,2.2721646857989146,cluster_3
MACEsmall_1992_opt.json,-221.33356607,2.15750553,MACEsmall 0.1 ns (ML/MM),-3339.9676379215666,-3339.8966387545665,-90873.37119334796,-90873.3521097808,-90810.66513702256,-90810.6759278478,2.3668454608555995,cluster_3
MACEsmall_1762_opt.json,-221.33323533,2.13880558,MACEsmall 0.1 ns (ML/MM),-3339.966310886184,-3339.8939537771835,-90873.31732013088,-90873.29602062044,-90810.58267948015,-90810.59386035816,1.806437016517994,cluster_3
