filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol
MACEsmall_1270_opt.json,2.34441116,MACEsmall 0.1 ns (ML/MM),-138886.5375963037
ANI2x_L_3809_opt.json,2.39282447,ANI2x 0.2 ns (ML/MM),-138886.5361593081
MACEsmall_1134_opt.json,2.37578481,MACEsmall 0.1 ns (ML/MM),-138886.53598988068
MACEsmall_1888_opt.json,2.19633993,MACEsmall 0.1 ns (ML/MM),-138886.53558199984
ANI2x_L_0982_opt.json,2.20913961,ANI2x 0.2 ns (ML/MM),-138886.53496076592
MACEsmall_0259_opt.json,2.35392252,MACEsmall 0.1 ns (ML/MM),-138886.5344650338
MACEsmall_1269_opt.json,2.37112707,MACEsmall 0.1 ns (ML/MM),-138886.53417637965
MACEsmall_0371_opt.json,2.43745457,MACEsmall 0.1 ns (ML/MM),-138886.53405087788
MACEsmall_0357_opt.json,2.3953291,MACEsmall 0.1 ns (ML/MM),-138886.53372457318
ANI2x_L_1177_opt.json,2.22293014,ANI2x 0.2 ns (ML/MM),-138886.5322122765
MACEsmall_1436_opt.json,2.38418192,MACEsmall 0.1 ns (ML/MM),-138886.53140906498
SAGE_0087_opt.json,2.58023423,SAGE 10 ns classic,-138886.5298277423
MACEsmall_0914_opt.json,2.39911381,MACEsmall 0.1 ns (ML/MM),-138886.52953281306
MACEsmall_0740_opt.json,2.42868668,MACEsmall 0.1 ns (ML/MM),-138886.5293696607
MACEsmall_0928_opt.json,2.35763192,MACEsmall 0.1 ns (ML/MM),-138886.52904963112
MACEsmall_1319_opt.json,2.29496064,MACEsmall 0.1 ns (ML/MM),-138886.52898060513
ANI2x_L_1178_opt.json,2.19670796,ANI2x 0.2 ns (ML/MM),-138886.5283844716
ANI2x_L_1580_opt.json,2.13385366,ANI2x 0.2 ns (ML/MM),-138886.527505959
ANI2x_L_3759_opt.json,2.35284312,ANI2x 0.2 ns (ML/MM),-138886.52726123048
ANI2x_L_1371_opt.json,2.20267865,ANI2x 0.2 ns (ML/MM),-138886.52685334964
MACEsmall_0687_opt.json,2.37966408,MACEsmall 0.1 ns (ML/MM),-138886.52676549836
MACEsmall_0658_opt.json,2.35552601,MACEsmall 0.1 ns (ML/MM),-138886.5263513424
REMD_0457_opt.json,2.53369117,SAGE 10 ns (16 REMD up to 475K),-138886.52470099376
MACEsmall_0697_opt.json,2.39628176,MACEsmall 0.1 ns (ML/MM),-138886.5246131425
ANI2x_L_3896_opt.json,2.45655802,ANI2x 0.2 ns (ML/MM),-138886.52355892738
ANI2x_L_1213_opt.json,2.19551802,ANI2x 0.2 ns (ML/MM),-138886.5226741397
MACEsmall_0962_opt.json,2.34062503,MACEsmall 0.1 ns (ML/MM),-138886.52224743358
MACEsmall_0689_opt.json,2.40079698,MACEsmall 0.1 ns (ML/MM),-138886.52224115847
MACEsmall_0799_opt.json,2.38307594,MACEsmall 0.1 ns (ML/MM),-138886.52001977662
MACEsmall_0456_opt.json,2.44422802,MACEsmall 0.1 ns (ML/MM),-138886.51907223804
MACEsmall_1068_opt.json,2.42373003,MACEsmall 0.1 ns (ML/MM),-138886.51595979338
MACEsmall_1422_opt.json,2.37756533,MACEsmall 0.1 ns (ML/MM),-138886.5151377566
MACEsmall_0873_opt.json,2.39852827,MACEsmall 0.1 ns (ML/MM),-138886.51220728958
ANI2x_L_1176_opt.json,2.21937797,ANI2x 0.2 ns (ML/MM),-138886.5113162268
MACEsmall_1251_opt.json,2.3837593,MACEsmall 0.1 ns (ML/MM),-138886.51121582533
MACEsmall_1537_opt.json,2.32112408,MACEsmall 0.1 ns (ML/MM),-138886.51008630916
MACEsmall_1477_opt.json,2.23230286,MACEsmall 0.1 ns (ML/MM),-138886.50856146228
ANI2x_L_3732_opt.json,2.34818442,ANI2x 0.2 ns (ML/MM),-138886.5085489121
ANI2x_L_3740_opt.json,2.39794039,ANI2x 0.2 ns (ML/MM),-138886.50800925435
ANI2x_L_3749_opt.json,2.35944786,ANI2x 0.2 ns (ML/MM),-138886.5069173887
MACEsmall_1183_opt.json,2.40269425,MACEsmall 0.1 ns (ML/MM),-138886.50505368697
MACEsmall_0444_opt.json,2.41824583,MACEsmall 0.1 ns (ML/MM),-138886.50440107763
MACEsmall_0985_opt.json,2.35128152,MACEsmall 0.1 ns (ML/MM),-138886.5012635326
MACEsmall_0276_opt.json,2.3876574,MACEsmall 0.1 ns (ML/MM),-138886.49980143664
ANI2x_L_1623_opt.json,2.16885127,ANI2x 0.2 ns (ML/MM),-138886.49954415797
MACEsmall_1510_opt.json,2.3255494,MACEsmall 0.1 ns (ML/MM),-138886.4987472215
MACEsmall_0984_opt.json,2.33532337,MACEsmall 0.1 ns (ML/MM),-138886.4975110288
MACEsmall_1881_opt.json,2.21457633,MACEsmall 0.1 ns (ML/MM),-138886.49731650102
ANI2x_L_1188_opt.json,2.19963572,ANI2x 0.2 ns (ML/MM),-138886.49706549742
MACEsmall_0460_opt.json,2.40111863,MACEsmall 0.1 ns (ML/MM),-138886.49692744543
REST600d_0198_opt.json,2.63399787,SAGE 10 ns (16 REST up to 600K),-138886.49503864333
ANI2x_L_3767_opt.json,2.36449936,ANI2x 0.2 ns (ML/MM),-138886.494806465
MACEsmall_1589_opt.json,2.34797926,MACEsmall 0.1 ns (ML/MM),-138886.49363302317
MACEsmall_0453_opt.json,2.4117333,MACEsmall 0.1 ns (ML/MM),-138886.49332554376
ANI2x_L_1622_opt.json,2.16689507,ANI2x 0.2 ns (ML/MM),-138886.49298668889
ANI2x_L_3858_opt.json,2.43346953,ANI2x 0.2 ns (ML/MM),-138886.4921709272
ANI2x_L_3882_opt.json,2.44895653,ANI2x 0.2 ns (ML/MM),-138886.48959186522
MACEsmall_1428_opt.json,2.38513927,MACEsmall 0.1 ns (ML/MM),-138886.48893925585
ANI2x_L_3890_opt.json,2.41966619,ANI2x 0.2 ns (ML/MM),-138886.48541893036
ANI2x_L_3766_opt.json,2.3600118,ANI2x 0.2 ns (ML/MM),-138886.48335442576
ANI2x_L_1545_opt.json,2.15011409,ANI2x 0.2 ns (ML/MM),-138886.481139319
MACEsmall_0936_opt.json,2.36019249,MACEsmall 0.1 ns (ML/MM),-138886.48005372842
MACEsmall_1042_opt.json,2.44052046,MACEsmall 0.1 ns (ML/MM),-138886.4780708
MACEsmall_0315_opt.json,2.41537545,MACEsmall 0.1 ns (ML/MM),-138886.47787627217
