#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
139000,-725781.3631164832,139858.625,-585922.7381164832,300.18159952508597,551.0615166563728,1.012214156922222,134
140000,-727848.9784069965,139528.703125,-588320.2752819965,299.4734810507637,543.1466773678471,1.0269643389843393,134
141000,-725829.0272614835,140060.96875,-585768.0585114835,300.615894303323,546.8598743358536,1.019991216528795,134
142000,-727422.8448857414,139218.3125,-588204.5323857414,298.8072829218311,541.8363054530979,1.0294479400529846,134
143000,-727504.4266905719,140275.359375,-587229.0673155719,301.0760455505963,542.0783966206683,1.0289881905862766,134
144000,-727313.8296432234,140856.6875,-586457.1421432234,302.3237627107744,546.2606340478771,1.0211101326509344,134
145000,-722971.6165342247,139094.5,-583877.1165342247,298.54154146833685,555.9898011559565,1.0032419071984908,134
146000,-724241.4091256093,139080.34375,-585161.0653756093,298.51115760199843,552.6225192096387,1.00935493778351,134
147000,-723772.7694756584,140470.375,-583302.3944756584,301.49461181524305,555.1672745683493,1.0047282936990531,134
148000,-725429.1915664608,140097.46875,-585331.7228164608,300.6942350447872,555.4949624412969,1.0041356019561694,134
149000,-725473.9680273896,140733.9375,-584740.0305273896,302.06030172406946,542.3314677442754,1.0285080281523074,134
150000,-725155.7506512795,139653.9375,-585501.8131512795,299.74227430540225,547.089837504958,1.0195624744894962,134
151000,-726876.209854167,139665.96875,-587210.241104167,299.7680972381623,543.5976775678622,1.0261123097329223,134
152000,-724976.855264741,140024.4375,-584952.417764741,300.5374864893061,557.3519730053737,1.0007899774479374,134
153000,-725533.2047356237,141061.640625,-584471.5641106237,302.7636580471555,547.8102607184742,1.0182216517139446,134
154000,-724607.0128366482,140885.21875,-583721.7940866482,302.3849999513197,551.7692049866085,1.0109159109525676,134
155000,-726564.1511003925,140504.1875,-586059.9636003925,301.56718431718167,541.4628301902317,1.0301580041951222,134
156000,-725069.0013111727,140131.9375,-584937.0638111727,300.7682160703309,550.1696873489616,1.0138549638791985,134
157000,-726401.3191944035,140265.9375,-586135.3816944035,301.0558231759803,546.6552647237146,1.0203729927974363,134
158000,-727705.9574162643,139733.90625,-587972.0511662643,299.9139129675657,544.8172497478056,1.0238153596509874,134
159000,-727298.502070928,139129.1875,-588169.314570928,298.6159920017489,545.1985800025911,1.0230992686957483,134
160000,-727946.462271451,139482.984375,-588463.477896451,299.37535390627556,547.5045926897556,1.0187901178222358,134
161000,-727342.1839867104,140889.09375,-586453.0902367104,302.393316947845,545.4556812715122,1.0226170294795378,134
162000,-728131.1712819142,140490.984375,-587640.1869069142,301.5388461636982,540.9309101880085,1.0311710016732867,134
163000,-724937.1309824744,139032.890625,-585904.2403574744,298.4093079308397,553.714840645673,1.007363768405022,134
164000,-724450.0679426603,139431.8125,-585018.2554426603,299.26552260135463,552.2949429569743,1.0099536046957165,134
165000,-727637.9897861108,139545.640625,-588092.3491611108,299.5098343742856,541.8712324195639,1.0293815857393958,134
166000,-726673.5073094983,140051.375,-586622.1323094983,300.5953030296676,547.12434472135,1.019498170527752,134
167000,-724323.8184314147,139857.375,-584466.4434314147,300.1789166229811,553.4477141468248,1.0078499815551394,134
168000,-726403.8563598553,140221.734375,-586182.1219848553,300.9609490502944,548.4023267782646,1.01712235936618,134
169000,-725495.1722913934,139635.65625,-585859.5160413934,299.70303686211753,554.5465271406232,1.0058529648913752,134
170000,-726076.4189812569,140503.796875,-585572.6221062569,301.56634591027387,549.9379458185808,1.0142821980838936,134
171000,-723733.1457910575,139322.28125,-584410.8645410575,299.03043330440937,554.6038058930119,1.0057490817187333,134
172000,-727157.7224724805,139739.3125,-587418.4099724805,299.9255165191696,548.0513372075842,1.017773756992655,134
173000,-725881.9233035399,140326.34375,-585555.5795535399,301.1854744202015,548.9129255149317,1.0161762322709929,134
174000,-726296.1754981792,140682.921875,-585613.2536231792,301.95080578191164,544.5877087921698,1.024246892629523,134
175000,-727494.3810943542,139702.5,-587791.8810943542,299.8465050521791,550.0385815457381,1.0140966237806146,134
176000,-726871.0857816637,139909.0,-586962.0857816637,300.28972047991505,541.5058383112249,1.0300761857603942,134
177000,-727090.5971432375,140947.5625,-586143.0346432375,302.5188096938035,542.6951829359618,1.0278187204039195,134
178000,-728843.3047727495,141557.234375,-587286.0703977495,303.82736165921114,540.4616862026251,1.0320662550823054,134
179000,-726210.7676756242,139066.515625,-587144.2520506242,298.48147799746255,551.3539797626071,1.0116772327185821,134
180000,-724808.1127882292,140460.953125,-584347.1596632292,301.4743894406271,548.2444502131501,1.0174152575146893,134
181000,-722048.1334629906,140592.71875,-581455.4147129906,301.75720085876395,557.0849914605876,1.0012696034624258,134
182000,-724129.2713040169,140485.78125,-583643.4900540169,301.52767858368645,549.623877962534,1.014861782501804,134
