GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3131,491.95,1288.07,2022.72,-1354.27,-12422.21,633.52,8183.26,-2011.3,60.36,-1156.95,-1950.95,-3107.9
3141,535.26,1350.45,2033.65,-1359.88,-12539.82,620.91,8188.62,-1927.06,58.07,-1170.8,-1868.99,-3039.79
3151,527.05,1331.98,2008.76,-1356.72,-12514.39,619.21,8155.22,-1913.26,59.73,-1228.89,-1853.53,-3082.43
3161,569.77,1335.21,2032.24,-1357.42,-12452.63,616.6,8112.43,-1954.23,60.26,-1143.8,-1893.98,-3037.78
3171,540.93,1313.31,2048.12,-1365.2,-12446.97,614.71,8121.93,-1941.83,59.21,-1173.18,-1882.62,-3055.8
3181,508.23,1340.25,2030.64,-1326.74,-12452.64,618.54,8189.7,-2025.4,61.33,-1092.0,-1964.06,-3056.06
3191,521.98,1367.02,2006.02,-1337.25,-12435.61,616.31,8148.17,-1989.16,59.09,-1113.37,-1930.07,-3043.44
3201,528.94,1315.68,2029.35,-1388.36,-12451.31,611.88,8186.9,-1991.21,59.71,-1166.91,-1931.5,-3098.41
3211,544.99,1306.93,2017.54,-1352.29,-12446.52,621.41,8187.39,-2016.65,59.53,-1120.55,-1957.12,-3077.67
3221,511.7,1314.13,2018.47,-1329.46,-12444.83,626.6,8172.96,-2053.68,61.41,-1130.43,-1992.26,-3122.7
3231,518.36,1297.64,2023.07,-1361.32,-12506.57,627.71,8171.41,-1962.84,58.67,-1229.7,-1904.18,-3133.88
3241,546.33,1324.59,2017.45,-1369.88,-12500.07,610.61,8217.75,-1988.59,56.92,-1153.22,-1931.67,-3084.89
3251,507.2,1354.9,2046.52,-1356.59,-12493.04,602.58,8140.55,-1936.24,58.23,-1197.89,-1878.02,-3075.91
3261,535.94,1321.56,2025.84,-1358.99,-12432.28,595.56,8148.37,-2015.87,59.9,-1164.0,-1955.97,-3119.97
3271,525.58,1357.01,2011.28,-1372.55,-12373.44,630.27,8124.38,-2050.47,57.9,-1097.47,-1992.57,-3090.04
3281,538.55,1370.46,1997.05,-1356.5,-12483.13,626.62,8154.22,-1967.03,57.58,-1152.74,-1909.44,-3062.18
3291,554.76,1400.81,1984.04,-1344.96,-12373.56,609.49,8133.06,-2039.45,58.34,-1036.37,-1981.11,-3017.48
3301,523.51,1297.9,2019.88,-1369.59,-12447.52,618.15,8202.28,-1989.42,58.22,-1155.39,-1931.2,-3086.59
3311,533.9,1284.24,1991.48,-1350.49,-12407.23,616.5,8152.41,-1999.64,59.68,-1179.18,-1939.96,-3119.14
3321,532.68,1335.28,1998.3,-1351.03,-12451.82,612.43,8103.36,-1955.07,58.67,-1220.8,-1896.4,-3117.2
3331,487.77,1287.31,2018.63,-1348.32,-12439.11,627.91,8171.82,-1986.03,57.09,-1193.98,-1928.94,-3122.92
3341,511.36,1257.53,2003.15,-1361.52,-12470.18,622.27,8179.8,-1951.34,55.81,-1257.6,-1895.52,-3153.13
3351,531.29,1317.98,2007.24,-1369.06,-12574.57,628.37,8175.74,-1885.7,57.37,-1283.0,-1828.33,-3111.33
3361,542.18,1324.38,1990.08,-1370.89,-12406.89,612.51,8140.71,-1984.85,59.01,-1167.91,-1925.83,-3093.74
3371,507.54,1286.54,2001.1,-1367.26,-12420.9,621.43,8167.86,-1953.68,57.43,-1203.7,-1896.25,-3099.94
3381,543.03,1297.7,2013.62,-1370.7,-12527.72,614.37,8155.05,-1909.01,57.48,-1274.66,-1851.53,-3126.19
3391,563.07,1305.38,2023.46,-1324.47,-12577.35,599.38,8115.97,-1879.09,59.78,-1294.56,-1819.31,-3113.86
3401,517.72,1378.9,2001.64,-1329.69,-12531.58,620.77,8174.83,-1910.39,57.57,-1167.41,-1852.82,-3020.22
3411,509.98,1335.19,2025.1,-1338.92,-12505.26,626.07,8087.36,-1885.04,58.68,-1260.49,-1826.36,-3086.85
3421,530.49,1326.53,2007.67,-1369.16,-12509.3,632.64,8170.76,-1947.78,57.89,-1210.38,-1889.9,-3100.27
3431,534.4,1286.04,2025.71,-1366.18,-12361.02,622.78,8139.44,-2019.78,58.1,-1118.83,-1961.68,-3080.51
3441,529.91,1294.6,2015.41,-1311.04,-12604.73,617.47,8186.62,-1911.15,57.85,-1271.76,-1853.3,-3125.06
3451,505.66,1313.03,2010.63,-1332.13,-12481.96,618.92,8108.16,-1948.32,58.77,-1257.69,-1889.55,-3147.25
3461,513.8,1358.31,2031.47,-1354.63,-12555.93,632.97,8176.88,-1913.18,57.48,-1197.13,-1855.7,-3052.82
3471,542.29,1320.77,2012.92,-1341.07,-12495.23,601.65,8143.35,-1926.98,58.08,-1215.31,-1868.9,-3084.21
3481,522.81,1348.19,2027.82,-1359.33,-12548.3,614.98,8152.49,-1920.97,58.41,-1241.34,-1862.56,-3103.89
3491,528.28,1299.62,1977.45,-1348.15,-12573.63,624.38,8152.69,-1858.13,57.87,-1339.35,-1800.26,-3139.61
3501,529.03,1329.27,2006.69,-1351.36,-12550.87,622.87,8174.38,-1885.25,56.67,-1239.99,-1828.58,-3068.57
3511,528.58,1357.72,2002.91,-1325.56,-12670.17,620.94,8157.53,-1808.55,57.87,-1328.05,-1750.67,-3078.73
3521,527.47,1304.4,1982.09,-1337.21,-12637.36,622.39,8144.09,-1791.31,57.07,-1394.13,-1734.24,-3128.37
3531,524.37,1255.92,2039.76,-1357.65,-12719.12,627.29,8180.63,-1756.58,56.23,-1448.79,-1700.34,-3149.13
3541,504.34,1273.8,2007.44,-1371.17,-12592.91,613.68,8131.41,-1804.77,55.37,-1433.4,-1749.39,-3182.8
3551,542.46,1328.5,1981.53,-1308.45,-12674.76,625.83,8160.49,-1791.4,59.91,-1344.4,-1731.49,-3075.89
3561,511.21,1372.35,1997.52,-1326.96,-12488.16,629.01,8132.48,-1926.98,60.56,-1172.54,-1866.42,-3038.96
3571,540.56,1350.88,2015.92,-1365.09,-12560.71,617.63,8151.21,-1877.76,57.46,-1249.61,-1820.3,-3069.91
3581,505.81,1304.46,2015.57,-1337.2,-12608.47,631.67,8220.17,-1886.59,56.78,-1268.0,-1829.81,-3097.81
3591,524.36,1321.55,1995.95,-1363.62,-12518.61,616.02,8141.77,-1894.42,58.77,-1282.58,-1835.65,-3118.23
3601,519.02,1297.52,2004.45,-1367.58,-12545.16,617.74,8198.87,-1910.32,59.19,-1275.13,-1851.14,-3126.27
3611,526.73,1289.99,2020.03,-1346.84,-12651.64,610.15,8199.52,-1825.0,57.93,-1352.06,-1767.07,-3119.13
3621,553.54,1304.5,1996.16,-1346.9,-12563.69,605.51,8159.94,-1902.28,58.63,-1290.94,-1843.64,-3134.59
3631,513.78,1317.46,2032.91,-1361.9,-12566.19,603.48,8204.19,-1904.19,57.8,-1256.27,-1846.39,-3102.66
3641,534.21,1337.43,2042.68,-1380.65,-12565.53,604.98,8160.6,-1869.92,58.67,-1266.28,-1811.24,-3077.52
3651,522.78,1323.73,2023.62,-1362.58,-12615.45,645.35,8177.73,-1855.47,57.77,-1284.81,-1797.7,-3082.5
3661,540.61,1417.04,1998.33,-1353.96,-12591.45,608.32,8133.37,-1830.52,57.64,-1247.74,-1772.88,-3020.62
3671,504.82,1315.97,1990.1,-1369.64,-12606.84,612.49,8164.68,-1840.53,58.04,-1388.43,-1782.49,-3170.92
3681,540.88,1324.66,2014.3,-1333.15,-12474.2,628.78,8190.43,-2020.55,61.78,-1108.3,-1958.77,-3067.07
3691,490.35,1303.92,2004.24,-1336.01,-12546.5,629.94,8163.01,-1893.1,59.54,-1291.06,-1833.56,-3124.62
3701,558.1,1322.1,1995.17,-1346.86,-12618.46,608.79,8144.33,-1844.45,60.17,-1336.84,-1784.28,-3121.12
3711,537.23,1287.58,2007.55,-1366.77,-12627.01,629.9,8177.44,-1850.69,56.58,-1354.08,-1794.11,-3148.19
3721,505.26,1330.71,2007.92,-1339.06,-12559.38,616.77,8155.02,-1877.62,61.14,-1282.77,-1816.48,-3099.25
3731,496.64,1315.32,2028.29,-1328.05,-12589.64,631.89,8182.79,-1916.1,61.68,-1262.75,-1854.42,-3117.18
3741,497.55,1375.94,2017.27,-1329.37,-12527.37,616.18,8155.55,-1909.09,63.23,-1194.24,-1845.86,-3040.1
3751,540.45,1275.66,2021.15,-1351.18,-12507.67,616.39,8170.44,-1906.46,60.83,-1234.77,-1845.63,-3080.4
3761,513.91,1336.29,1996.39,-1330.84,-12569.24,633.98,8148.91,-1894.23,60.36,-1270.6,-1833.87,-3104.46
3771,526.81,1357.07,2019.22,-1362.0,-12660.17,613.89,8198.47,-1820.79,59.97,-1306.72,-1760.81,-3067.53
3781,547.09,1323.94,2006.09,-1335.13,-12590.68,650.72,8139.39,-1862.91,61.51,-1258.57,-1801.4,-3059.97
3791,520.09,1254.6,1982.95,-1350.62,-12633.35,625.14,8206.87,-1846.19,58.7,-1394.33,-1787.49,-3181.82
3801,528.03,1317.68,2022.74,-1350.53,-12465.21,620.4,8135.27,-1962.06,61.33,-1191.63,-1900.73,-3092.36
3811,508.85,1338.51,2000.53,-1331.32,-12558.69,636.49,8162.92,-1907.37,61.0,-1242.71,-1846.37,-3089.08
3821,506.84,1303.54,1993.86,-1327.76,-12514.85,605.58,8160.75,-1931.02,59.28,-1272.04,-1871.74,-3143.78
3831,518.86,1350.19,1996.12,-1351.5,-12444.8,621.42,8164.92,-1999.41,60.2,-1144.8,-1939.21,-3084.01
3841,537.71,1321.84,2010.81,-1354.42,-12388.33,611.46,8123.8,-2004.54,59.74,-1137.13,-1944.79,-3081.92
3851,510.76,1354.22,2044.35,-1326.55,-12512.61,631.01,8166.95,-1936.48,60.6,-1131.87,-1875.88,-3007.75
3861,526.65,1382.13,2007.89,-1328.37,-12397.45,615.45,8103.55,-2009.27,59.88,-1090.13,-1949.39,-3039.52
3871,517.93,1323.42,2020.43,-1332.58,-12466.09,613.0,8134.1,-1964.07,59.99,-1189.79,-1904.08,-3093.87
3881,534.74,1321.97,2025.61,-1331.98,-12497.73,624.83,8165.48,-1953.64,61.3,-1157.08,-1892.35,-3049.42
3891,526.81,1313.57,2009.28,-1331.18,-12471.06,620.7,8155.35,-1962.82,60.43,-1176.54,-1902.39,-3078.93
3901,532.53,1345.4,2041.21,-1348.8,-12525.83,605.6,8127.66,-1904.35,57.52,-1222.24,-1846.82,-3069.06
3911,546.65,1335.21,2012.63,-1386.06,-12438.31,599.61,8127.69,-1951.59,58.86,-1202.59,-1892.73,-3095.32
3921,515.89,1309.81,2027.17,-1379.73,-12608.23,637.25,8178.0,-1863.23,59.39,-1319.83,-1803.84,-3123.68
3931,544.87,1300.53,1988.48,-1345.4,-12549.01,619.56,8175.76,-1899.23,60.44,-1265.2,-1838.79,-3103.99
3941,556.87,1334.4,1999.89,-1374.2,-12412.69,620.96,8106.41,-1972.44,58.39,-1168.37,-1914.05,-3082.43
3951,481.62,1302.29,2017.07,-1343.19,-12571.72,615.16,8160.44,-1879.2,61.51,-1338.33,-1817.69,-3156.03
3961,518.7,1344.98,2006.05,-1348.93,-12479.22,608.31,8200.77,-1994.35,60.49,-1149.35,-1933.86,-3083.21
3971,542.35,1377.88,2013.42,-1352.4,-12514.55,636.44,8191.92,-1947.39,61.83,-1104.93,-1885.56,-2990.49
3981,508.8,1357.94,2021.01,-1345.54,-12418.64,634.44,8149.46,-2018.4,62.08,-1092.54,-1956.32,-3048.85
3991,551.46,1304.75,2044.18,-1363.28,-12475.49,613.01,8166.0,-1980.07,57.78,-1159.38,-1922.3,-3081.67
4001,529.19,1358.08,2004.09,-1360.17,-12475.39,626.74,8170.58,-1967.43,60.55,-1146.88,-1906.88,-3053.76
4011,507.88,1339.57,2030.52,-1375.33,-12542.35,625.87,8229.09,-1931.44,57.29,-1184.73,-1874.15,-3058.88
4021,544.59,1294.49,2045.53,-1349.12,-12406.92,624.9,8161.77,-2045.31,61.3,-1084.77,-1984.0,-3068.77
4031,490.11,1342.72,1999.77,-1341.54,-12424.33,618.82,8159.34,-1997.63,60.95,-1155.11,-1936.69,-3091.8
4041,526.38,1323.01,2026.69,-1334.1,-12380.56,630.82,8162.43,-2061.21,61.45,-1045.33,-1999.75,-3045.09
4051,521.84,1324.13,2021.65,-1347.28,-12349.05,626.15,8191.67,-2127.45,61.19,-1010.89,-2066.26,-3077.16
4061,542.58,1307.37,2031.9,-1338.12,-12404.89,632.64,8176.48,-2035.0,59.65,-1052.05,-1975.34,-3027.39
4071,522.59,1328.41,2026.0,-1351.59,-12452.8,614.36,8167.36,-2003.98,60.86,-1145.67,-1943.12,-3088.8
4081,501.3,1311.38,2028.73,-1361.93,-12429.76,618.54,8187.3,-2031.84,61.1,-1144.45,-1970.73,-3115.18
4091,521.5,1338.04,2020.73,-1371.39,-12431.4,626.68,8182.18,-2018.66,60.34,-1113.66,-1958.31,-3071.98
4101,507.32,1313.76,2048.5,-1369.77,-12545.28,647.38,8184.49,-1915.25,58.85,-1213.59,-1856.4,-3069.99
4111,532.69,1318.99,2021.96,-1333.16,-12399.87,613.19,8130.33,-2039.82,63.18,-1115.87,-1976.64,-3092.52
4121,527.88,1322.28,2010.88,-1312.64,-12328.69,635.32,8118.65,-2085.08,61.92,-1026.31,-2023.17,-3049.48
4131,552.83,1313.88,2008.34,-1324.09,-12387.28,634.58,8190.25,-2079.97,60.81,-1011.5,-2019.16,-3030.66
4141,561.86,1346.02,2050.57,-1336.92,-12423.01,611.4,8141.03,-2031.24,60.64,-1049.05,-1970.59,-3019.64
4151,533.37,1324.76,2005.68,-1334.64,-12369.21,615.93,8184.86,-2088.17,60.2,-1039.25,-2027.97,-3067.22
4161,538.58,1334.33,2051.48,-1359.46,-12479.26,627.39,8141.91,-1966.15,58.9,-1145.02,-1907.25,-3052.27
